OCID,CONTRACT_TITLE,CONTRACT_TYPE,PROCUREMENT_METHOD,BUYER_NAME,SUPPLIER_NAMES,CONTRACT_START_DATE,CONTRACT_END_DATE,CONTRACT_AMOUNT,CONTRACT_CURRENCY,CONTRACT_LINK
0072020-00001,PROVISIÓN DE CINCO 5 VENTILADORES,AZUAY,GOBIERNO PROVINCIAL DEL AZUAY,GOBIERNO PROVINCIAL DEL AZUAY,CABRERA IZQUIERDO FAUSTO HERNAN,4/06/2020,4/30/2020,"$68.925,00",US DOLLAR,"https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/EE/frmResumenResolucion.cpe?idRes=pyW54wlH7YlgcmKmXM4Ru0Hv5g9IJCAXLjelMADTycc,&idSoliCompra=4eTFJiowpDKBoHKhG5V7lXq-3dMZqGxEOqjjTsKPZpQ,"
0072020-00002,PROVISIÓN DE INSUMOS DE PROTECCIÓN PERSONAL-TRAJES ANTIFLUIDOS-TIPO OVEROL,AZUAY,GOBIERNO PROVINCIAL DEL AZUAY,GOBIERNO PROVINCIAL DEL AZUAY,CAÑAR CAÑAR LUIS GUILLERMO,4/09/2020,4/24/2020,"$54.000,00",US DOLLAR,"https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/EE/frmResumenResolucion.cpe?idRes=dizO34SpJqCf3rEWfj-z1utdH9hFhI1pqTOrwA--33U,&idSoliCompra=PeB2Zf2Rn9dnbjM065HBSnEMJY00_bzk2zYWm8pZM_c,"
0072020-00011,PROVISIÓN DE 1000 PRUEBAS PCR EN TIEMPO REAL PARA LA PROVINCIA DEL AZUAY,AZUAY,GOBIERNO PROVINCIAL DEL AZUAY,GOBIERNO PROVINCIAL DEL AZUAY,SIMED S. A.,5/13/2020,6/13/2020,"$45.000,00",US DOLLAR,"https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/EE/frmResumenResolucion.cpe?idRes=XAiaF-2FIC1sS_PI4Hd8ha0cTOQAfk3ho0dAHaIbhKI,&idSoliCompra=hO4V_pGsaDfIFS1Vv1DAuw2kUL25WRSI7aCMriIgh0I,"
0072020-00003,PROVISIÓN DE KIT DE EXTRACCIÓN -PRUEBAS DE PCR PARA LA DETECCIÓN DE COVID-2019 EN LA PROVINCIA DEL AZUAY,AZUAY,GOBIERNO PROVINCIAL DEL AZUAY,GOBIERNO PROVINCIAL DEL AZUAY,BIOGENGTLAB S.A.,4/17/2020,5/12/2020,"$20.250,00",US DOLLAR,"https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/EE/frmResumenResolucion.cpe?idRes=v_jFP4_kinwOKdkKkMiD3cmwLFkOgIX7pEuxUAMwOJk,&idSoliCompra=xDsV5XpS9h441z0ik-2S6357DsbX-r21eNgrwK_fehw,"
0072020-00010,PROVISIÓN DE KIT DE EXTRACCIÓN-PRUEBAS DE PCR PARA LA DETECCIÓN DE COVID-2019 EN LA PROVINCIA DEL AZUAY,AZUAY,GOBIERNO PROVINCIAL DEL AZUAY,GOBIERNO PROVINCIAL DEL AZUAY,BIOGENGTLAB S.A.,5/08/2020,6/02/2020,"$20.250,00",US DOLLAR,"https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/EE/frmResumenResolucion.cpe?idRes=lj9L6rJkIasEZN3h718ISovcSj6pdjvJLbZKGhDKQmE,&idSoliCompra=PR2P8lLJhpyaaOxgDx1qVz_u7JSwBCxW1d_wGonLx7U,"
0072020-00016,"PROVISIÓN DE MATERIALES PARA SISTEMA DE DISTRIBUCIÓN DE OXIGENO, AIRE MEDICINAL, VACIO MEDICINAL Y VENTILACIÓN PARA EL HOSPITAL JOSÉ CARRASCO ARTEAGA",AZUAY,GOBIERNO PROVINCIAL DEL AZUAY,GOBIERNO PROVINCIAL DEL AZUAY,RODRIGUEZ CHICA DANILO FABRICIO,6/19/2020,7/19/2020,"$16.629,00",US DOLLAR,"https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/EE/frmResumenResolucion.cpe?idRes=hQ44PUZOSM7olcd_rI0OoMpkFGkGLPwjWASeisFzYvg,&idSoliCompra=lU8G9MLeRKFJyananiXghcUm3n4ScDe34MBatTJNwtM,"
0072020-00009,PROVISIÓN DE INSUMOS DE PROTECCIÓN PERSONAL - MASCARILLAS N95,AZUAY,GOBIERNO PROVINCIAL DEL AZUAY,GOBIERNO PROVINCIAL DEL AZUAY,GUADAMUD MORENO ERIKA LORENA,5/02/2020,5/27/2020,"$16.250,00",US DOLLAR,"https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/EE/frmResumenResolucion.cpe?idRes=xuj0dmSxB2noOnEMAebua9X7w4SDZKPwk1PdqOyIJkk,&idSoliCompra=iyawIJV6920qhPgYn9JNR__fX3xhVuy1Tmxu8d5LVuM,"
0072020-00014,PROVISIÓN DE MATERIALES PARA CONSTRUCCIÓN DE ESTRUCTURA Y SISTEMA DE NEBULIZACIÓN PARA LOS TÚNELES DE SANITIZACIÓN,AZUAY,GOBIERNO PROVINCIAL DEL AZUAY,GOBIERNO PROVINCIAL DEL AZUAY,CALLE CALLE WILSON MARCELO,6/15/2020,7/15/2020,"$12.833,70",US DOLLAR,"https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/EE/frmResumenResolucion.cpe?idRes=eKIE65Nsv6IzYlLs04y1piRqNoATp7ga9rstXjJlMWM,&idSoliCompra=5bSyPo1ORY0ZZwS73hDeh3Wd6lo6mUv2sFoAbqaIPhg,"
0072020-00004,ADQUISICIÓN DE INSUMOS DE PROTECCIÓN PERSONAL -GAFAS TRANSPARENTES PROTECTORAS PARA EL PERSONAL DEL GOBIERNO PROVINCIAL DEL AZUAY,AZUAY,GOBIERNO PROVINCIAL DEL AZUAY,GOBIERNO PROVINCIAL DEL AZUAY,CORTEZ NIETO INGRID JAZMIN,5/02/2020,5/27/2020,"$10.375,00",US DOLLAR,"https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/EE/frmResumenResolucion.cpe?idRes=dHdr-QvASVlzMp4d8lfbZGBNcyVKDuHEM2ltA7IRMx0,&idSoliCompra=xX1gYQe3rRFeYimd3saHqfWhN0wqThBgG5wsf6CWQUA,"
01-2020-DIR-00012,ADQUISICIÓN DE INSUMOS MÉDICOS PARA EL H.D III D.E ?TARQUI.? EN CUMPLIMIENTO AL ESTADO DE EMERGENCIA SANITARIA A NIVEL NACIONAL,AZUAY,HOSPITAL GENERAL III DE TARQUI,HOSPITAL GENERAL III DE TARQUI,ALVARADO MONCAYO MONICA PATRICIA,4/07/2020,4/09/2020,"$10.920,70",US DOLLAR,"https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/EE/frmResumenResolucion.cpe?idRes=-igDGALnCopsxDaqwQZGMiDuNCGd5EUdQ5pOol29U4c,&idSoliCompra=Ivxa79t4j100BmU-ORewqxTGna9A-uzJhYJu07PRumo,"
023-A-2020-00003,"REQUERIMIENTO PARA LA ADQUISICIÓN DE KITS ALIMENTICIOS, POR LA EMERGEN-CIA SANITARIA DECRETADA POR EL PELIGRO DE CONTAGIO DEL COVID-19.",AZUAY,JUNTA PARROQUIAL DE QUINGEO,JUNTA PARROQUIAL DE QUINGEO,CONORQUE CIA.LTDA.,3/30/2020,5/02/2020,"$11.076,76",US DOLLAR,"https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/EE/frmResumenResolucion.cpe?idRes=AF6WoJSLQYviPFiN85tY-OGi85Iqn4poD_h7xk1uu7Y,&idSoliCompra=qBVYr6PHqXyEThCIrzl9Ze5HgfPDvxImCZ4E_JDSh-o,"
027-ACS-2020-00017,"ADQUISICIÓN DE PRODUCTOS NO PERECIBLES PARA ASISTENCIA A PERSONAS Y/O FAMILIAS EN ESTADO DE VULNERACION DURANTE LA EMERGENCIA DEL COVID-19 EN EL CANTON SIGSIG,PROVINCIA DEL AZUAY",AZUAY,GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL DE SIGSIG,GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL DE SIGSIG,ZAMORA DOMINGUEZ ROSA CLAUDINA,4/22/2020,4/27/2020,"$22.850,25",US DOLLAR,"https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/EE/frmResumenResolucion.cpe?idRes=VwJAH8EnonOTzB5INo7zBBSg49eGy4gaSwXkld67iCE,&idSoliCompra=6Jv65PDq6hyoH68J0VN0-9N2iaStbCQyzK3ae70q6lQ,"
028-A-GADMCH-2020-00008,KITS ALIMENTICIOS,AZUAY,GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL DE CHORDELEG,GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL DE CHORDELEG,AYORA PARRA JAIME SANTIAGO,5/12/2020,5/13/2020,"$13.500,00",US DOLLAR,"https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/EE/frmResumenResolucion.cpe?idRes=UujezYCSijGG9UOjUioFDHnYpP8yg8RZcAkNuhTUU7k,&idSoliCompra=uLtLq8RO_KqADwAD2359Co45oTQ71IR5rKDOss3KGyI,"
037GADMCPERE2020-00006,ADQUISICION DE AMONIO CUATERNARIO E HIPOCLORITO DE CALCIO PARA FUMIGACION Y MITIGAR EL RIESGO DE CONTAGIO EN EMERGENCIA COVID-19 PARA EL GAD MUNICIPAL DE CAMILO PONCE ENRIQUEZ,AZUAY,GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL DEL CANTON CAMILO PONCE ENRIQUEZ,GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL DEL CANTON CAMILO PONCE ENRIQUEZ,BARROS VELEZ ARTURO RENE,5/27/2020,5/29/2020,"$12.900,00",US DOLLAR,"https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/EE/frmResumenResolucion.cpe?idRes=bFlsGlBpv-ATudhGSQBngd8yn2cCBwdHIKzA4xn-mW0,&idSoliCompra=cLTM7nCmbv2pCkiZY_7SOkGKp7NGCLZ0P_nvGTdyHxU,"
037GADMCPERE2020-00004,ADQUISICION DE INSUMOS MEDICOS: TEST COVID-19,AZUAY,GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL DEL CANTON CAMILO PONCE ENRIQUEZ,GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL DEL CANTON CAMILO PONCE ENRIQUEZ,MAURAD ORDOÑEZ BOLIVAR PATRICIO,4/28/2020,4/30/2020,"$10.000,00",US DOLLAR,"https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/EE/frmResumenResolucion.cpe?idRes=m3pe1ooBj_JFRYJeuO1WGe5N4CTn-RoTan6t1YoDjk4,&idSoliCompra=SaUnL0_JtzJqAzATGhgc7Rju6ZS27qnCwXmY6VjmNHU,"
08-2020-00002,"ADQUISICIÓN DE PRODUCTOS ALIMENTICIOS DE PRIMERA NECESIDAD, DENTRO DEL PROYECTO-CONVENIO DENOMINADO CANASTAS SOLIDARIAS PARA LA ATENCIÓN A LOS SECTORES MÁS VULNERABLES DE LA PROVINCIA DEL AZUAY, COMO CONTRIBUCIÓN A LA EMERGENCIA SANITARIA POR EL COVID-19",AZUAY,COMPAÑIA DE ECONOMIA MIXTA AGROAZUAY GPA,COMPAÑIA DE ECONOMIA MIXTA AGROAZUAY GPA,PUGO PAUTA LAURO HELIODORO,3/31/2020,4/01/2020,"$338.255,22",US DOLLAR,"https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/EE/frmResumenResolucion.cpe?idRes=bLAaFQriI98uGARtQGLldlsroglA__Kcvpc2WTMYfJ8,&idSoliCompra=jX8IFydkM2vE4aZHDGTPy5hkzvJbbL_qpfHE3c-2dWY,"
08-2020-00003,"ADQUISICIÓN DE PRODUCTOS ALIMENTICIOS DE PRIMERA NECESIDAD, DENTRO DEL PROYECTO-CONVENIO DENOMINADO CANASTAS SOLIDARIAS PARA LA ATENCIÓN A LOS SECTORES MÁS VULNERABLES DE LA PROVINCIA DEL AZUAY COMO CONTRIBUCIÓN A LA EMERGENCIA SANITARIA POR EL COVID-19 .",AZUAY,COMPAÑIA DE ECONOMIA MIXTA AGROAZUAY GPA,COMPAÑIA DE ECONOMIA MIXTA AGROAZUAY GPA,SANCECI CIA. LTDA.,3/30/2020,3/31/2020,"$240.540,00",US DOLLAR,"https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/EE/frmResumenResolucion.cpe?idRes=5vCOkpoBEBLfPaPUdRjsjka0I07lD5qkZSc3WjKEqRU,&idSoliCompra=iTC7-nSdTqcPIeKXHIJTgZj3_LDERQnijKIzuCZWP1k,"
08-2020-00005,"PARA EL CUMPLIMIENTO DEL OBJETIVO DEL CONVENIO Y DE LAS METAS DEL PROYECTO , SE SOLICITA A LA MÁXIMA AUTORIDAD AUTORIZAR LA ADQUISICIÓN DE LOS BIENES PARA ESTA SEGUNDA COMPRA",AZUAY,COMPAÑIA DE ECONOMIA MIXTA AGROAZUAY GPA,COMPAÑIA DE ECONOMIA MIXTA AGROAZUAY GPA,SANCECI CIA. LTDA.,6/15/2020,6/16/2020,"$140.714,06",US DOLLAR,"https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/EE/frmResumenResolucion.cpe?idRes=g-ZN8jE5OQ6WRDduPv6k4ccNfqzk2DQh2vSisPwAsAE,&idSoliCompra=BJL2InuCBpRJVo6feXhlexRTnMZ_UoYr2AD1z3dUVTg,"
101-AL-GADMG-2020-00016,"ADQUISICIÓN DE VIVERES DE PRIMERA NECESIDAD PARA FAMILIAS O PERSONAS EN SITUACIÓN DE POBREZA, POBREZA EXTREMA Y/O VULNERABILIDAD, CASOS EMERGENTES DE EMERGENCIA SANITARIA POR CIVD-19",AZUAY,GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DE GIRÓN,GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DE GIRÓN,NIEVES NIEVES JAVIER GERARDO,5/01/2020,6/09/2020,"$44.689,88",US DOLLAR,"https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/EE/frmResumenResolucion.cpe?idRes=dCPzOujSnLyrrC3sh9jtT1r-IJkSVddU_ChI28tr59Q,&idSoliCompra=-oVQqtqUNYe8ktMgrIcaAmPa0p4-2a0o_eqzngbQ3Lk,"
101-AL-GADMG-2020-00017,"ADQUISICIÓN DE PRODUCTOS DE BIOSEGURIDAD PARA FAMILIAS O PERSONAS EN SITUACIÓN DE POBREZA, POBREZA EXTREMA Y/O VULNERABILIDAD, CASOS EMERGENTES DE EMERGENCIA SANITARIA COVID-19",AZUAY,GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DE GIRÓN,GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DE GIRÓN,ENCALADA PERALTA ELVIA MATILDE,5/15/2020,5/23/2020,"$15.500,00",US DOLLAR,"https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/EE/frmResumenResolucion.cpe?idRes=o31WoAgyq81J2DCMLINeP4onlEScvqG4FoZjIscy7fM,&idSoliCompra=c8DDNMU-4hpjTePakFAGcFd0wDiAcGF5N2vnHI0ki2Y,"
101-AL-GADMG-2020-00007,ADQUISICIÓN DE 1000 KITS DE ALIMENTACIÓN,AZUAY,GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DE GIRÓN,GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DE GIRÓN,ORDOÑEZ PIEDRA ANGEL BOLIVAR,4/23/2020,5/01/2020,"$11.887,66",US DOLLAR,"https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/EE/frmResumenResolucion.cpe?idRes=6_m8xJ1IVpIHs5R0j7ll5d-Bamf4ea7Vm1NeIFYxdno,&idSoliCompra=ViWqcF8SbXZ8YYmC_Wxn6URVhJd3af4NohoyfNqdKO4,"
11-2020-GPS-00014,VIVERES PARA ARMADO DE KITS A ENTREGAR AL SECTOR MAS VULNERABLE DEBIDO A LA EMERGENCIA SANITARIA COVID-19,AZUAY,JUNTA PARROQUIAL DE SAYAUSI,JUNTA PARROQUIAL DE SAYAUSI,SANCECI CIA. LTDA.,5/12/2020,5/13/2020,"$10.819,95",US DOLLAR,"https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/EE/frmResumenResolucion.cpe?idRes=qHKMz8Fq7V-wTqTWC-kz7fdqx7hjmkooUfQ5NDtwk5w,&idSoliCompra=edudin8-uPm4dciPyPVMV3faxd0vS84JDJdN6y_xBeE,"
300-00004,"REACTIVOS PARA LABORATORIO ARC HIV AG/AB COMBO, ANTI HEPITITIS C , ANTI HBS AG, ARC ,SYSPHILLIS RGT, ARC CHAGAS , ANTI HBC 11",AZUAY,HOSPITAL VICENTE CORRAL MOSCOSO,HOSPITAL VICENTE CORRAL MOSCOSO,SISTEMAS DE SALUD ROCARSYSTEM S.A.,6/08/2020,6/12/2020,"$147.140,70",US DOLLAR,"https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/EE/frmResumenResolucion.cpe?idRes=8lh0f0DqMXzU9pzK3nnug6V-UpqL30bSnwbeEjOKjCU,&idSoliCompra=3jB2W5UP1kNyC7HE28fxaZHfqI4At8bVXNHUEnp1T-4,"
300-00007,TOCILIZUMAB 200 MG /ML CAJA X 1 VIAL X 10ML 200MG,AZUAY,HOSPITAL VICENTE CORRAL MOSCOSO,HOSPITAL VICENTE CORRAL MOSCOSO,QUIFATEX S.A.,6/08/2020,6/18/2020,"$46.548,48",US DOLLAR,"https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/EE/frmResumenResolucion.cpe?idRes=VqiXQeo2AaPKLU1Hdg_D4eBIcdiZ1w6AtpTBctknwG4,&idSoliCompra=13XS9JUiJXY6fVwO5jAb0_0aKJLO2C1MVutcv7Mp58w,"
300-00009,ALCOHOL ANTISEPTICO POR GALON,AZUAY,HOSPITAL VICENTE CORRAL MOSCOSO,HOSPITAL VICENTE CORRAL MOSCOSO,COMERCIAL E INDUSTRIAL DEL AUSTRO INCODISA C LTDA,6/01/2020,6/08/2020,"$25.175,00",US DOLLAR,"https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/EE/frmResumenResolucion.cpe?idRes=GIlOwhU63woYIttb3oj-R3ru1H7NDVdgdlbUzvM-ep0,&idSoliCompra=mmaDUpvLkKwv6NJx05j0czQntEdWb6q4jtFvrY42ft4,"
300-00003,OVEROLES DE PROTECCION DESCARTABLES,AZUAY,HOSPITAL VICENTE CORRAL MOSCOSO,HOSPITAL VICENTE CORRAL MOSCOSO,PALACIOS ALVAREZ VILMA MARIA,6/02/2020,6/10/2020,"$18.896,00",US DOLLAR,"https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/EE/frmResumenResolucion.cpe?idRes=cxPiCiK8LrxDU1uXvUaG2qbQVVXVmA1HpDlnfB1eN0c,&idSoliCompra=ybfA7Zyn2bwVOXxggGokVApxy40b7nJ4yqAKaqkgEgc,"
AL-2020-032-RFDQ-00013,ADQUISICIÓN DE EQUIPOS MÉDICOS,AZUAY,HOSPITAL DE ESPECIALIDADES JOSÉ CARRASCO ARTEAGA,HOSPITAL DE ESPECIALIDADES JOSÉ CARRASCO ARTEAGA,MENA SALAZAR WILLIAM RODRIGO,9/02/2020,9/12/2020,"$377.040,00",US DOLLAR,"https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/EE/frmResumenResolucion.cpe?idRes=puxcJR7KtSlyoB2YsdWCDok5FjgI0h-VdQSmfFJtc18,&idSoliCompra=eTBfa81qgSoz02HAOloJV7CJp_cEoP5IOfxE6P1kWh4,"
